outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
20.0,73.0,0.0,0.0,19.0,18.4,18.0,78.0,79.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,78.0,0.0,0.0,18.4,18.0,18.0,79.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
18.4,79.0,0.0,0.0,18.0,18.0,17.8,83.0,83.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,83.0,0.0,0.0,18.0,17.8,17.0,83.0,81.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,83.0,0.0,0.0,17.8,17.0,17.0,81.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
17.8,81.0,0.0,0.0,17.0,17.0,16.3,82.0,82.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,82.0,0.0,0.0,17.0,16.3,18.0,82.0,86.0,83.0,0.0,0.0,48.0,0.0,0.0,125.0
17.0,82.0,0.0,0.0,16.3,18.0,20.0,86.0,83.0,73.0,0.0,48.0,90.0,0.0,125.0,302.0
16.3,86.0,0.0,0.0,18.0,20.0,21.3,83.0,73.0,60.0,48.0,90.0,106.0,125.0,302.0,481.0
18.0,83.0,48.0,125.0,20.0,21.3,24.0,73.0,60.0,58.0,90.0,106.0,108.0,302.0,481.0,617.0
20.0,73.0,90.0,302.0,21.3,24.0,25.0,60.0,58.0,43.0,106.0,108.0,111.0,481.0,617.0,682.0
21.3,60.0,106.0,481.0,24.0,25.0,26.4,58.0,43.0,31.0,108.0,111.0,111.0,617.0,682.0,676.0
24.0,58.0,108.0,617.0,25.0,26.4,27.0,43.0,31.0,26.0,111.0,111.0,106.0,682.0,676.0,601.0
25.0,43.0,111.0,682.0,26.4,27.0,27.0,31.0,26.0,34.0,111.0,106.0,94.0,676.0,601.0,466.0
26.4,31.0,111.0,676.0,27.0,27.0,27.0,26.0,34.0,35.0,106.0,94.0,74.0,601.0,466.0,287.0
27.0,26.0,106.0,601.0,27.0,27.0,25.0,34.0,35.0,28.0,94.0,74.0,38.0,466.0,287.0,108.0
27.0,34.0,94.0,466.0,27.0,25.0,24.0,35.0,28.0,41.0,74.0,38.0,7.0,287.0,108.0,13.0
27.0,35.0,74.0,287.0,25.0,24.0,23.6,28.0,41.0,40.0,38.0,7.0,0.0,108.0,13.0,0.0
25.0,28.0,38.0,108.0,24.0,23.6,23.0,41.0,40.0,44.0,7.0,0.0,0.0,13.0,0.0,0.0
24.0,41.0,7.0,13.0,23.6,23.0,23.0,40.0,44.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
23.6,40.0,0.0,0.0,23.0,23.0,20.8,44.0,64.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,44.0,0.0,0.0,23.0,20.8,21.0,64.0,54.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,64.0,0.0,0.0,20.8,21.0,21.0,54.0,66.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
20.8,54.0,0.0,0.0,21.0,21.0,20.2,66.0,67.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,66.0,0.0,0.0,21.0,20.2,20.0,67.0,65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,67.0,0.0,0.0,20.2,20.0,21.0,65.0,58.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
20.2,65.0,0.0,0.0,20.0,21.0,20.1,58.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,58.0,0.0,0.0,21.0,20.1,19.0,56.0,56.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,56.0,0.0,0.0,20.1,19.0,18.0,56.0,43.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
20.1,56.0,0.0,0.0,19.0,18.0,18.4,43.0,49.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,43.0,0.0,0.0,18.0,18.4,19.0,49.0,44.0,43.0,0.0,0.0,44.0,0.0,0.0,134.0
18.0,49.0,0.0,0.0,18.4,19.0,21.0,44.0,43.0,38.0,0.0,44.0,80.0,0.0,134.0,316.0
18.4,44.0,0.0,0.0,19.0,21.0,23.7,43.0,38.0,30.0,44.0,80.0,101.0,134.0,316.0,483.0
19.0,43.0,44.0,134.0,21.0,23.7,26.0,38.0,30.0,35.0,80.0,101.0,116.0,316.0,483.0,603.0
21.0,38.0,80.0,316.0,23.7,26.0,27.0,30.0,35.0,24.0,101.0,116.0,117.0,483.0,603.0,666.0
23.7,30.0,101.0,483.0,26.0,27.0,28.4,35.0,24.0,31.0,116.0,117.0,112.0,603.0,666.0,667.0
26.0,35.0,116.0,603.0,27.0,28.4,29.0,24.0,31.0,31.0,117.0,112.0,105.0,666.0,667.0,600.0
27.0,24.0,117.0,666.0,28.4,29.0,29.0,31.0,31.0,31.0,112.0,105.0,93.0,667.0,600.0,466.0
28.4,31.0,112.0,667.0,29.0,29.0,29.0,31.0,31.0,32.0,105.0,93.0,75.0,600.0,466.0,285.0
