outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
31.0,70.0,0.0,0.0,30.0,29.3,29.0,70.0,73.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,70.0,0.0,0.0,29.3,29.0,30.0,73.0,91.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
29.3,73.0,0.0,0.0,29.0,30.0,29.3,91.0,91.0,85.0,0.0,0.0,51.0,0.0,0.0,113.0
29.0,91.0,0.0,0.0,30.0,29.3,31.0,91.0,85.0,69.0,0.0,51.0,100.0,0.0,113.0,303.0
30.0,91.0,0.0,0.0,29.3,31.0,33.0,85.0,69.0,50.0,51.0,100.0,127.0,113.0,303.0,511.0
29.3,85.0,51.0,113.0,31.0,33.0,34.8,69.0,50.0,44.0,100.0,127.0,142.0,303.0,511.0,685.0
31.0,69.0,100.0,303.0,33.0,34.8,37.0,50.0,44.0,42.0,127.0,142.0,153.0,511.0,685.0,799.0
33.0,50.0,127.0,511.0,34.8,37.0,39.0,44.0,42.0,38.0,142.0,153.0,156.0,685.0,799.0,845.0
34.8,44.0,142.0,685.0,37.0,39.0,38.2,42.0,38.0,29.0,153.0,156.0,154.0,799.0,845.0,817.0
37.0,42.0,153.0,799.0,39.0,38.2,38.0,38.0,29.0,40.0,156.0,154.0,144.0,845.0,817.0,721.0
39.0,38.0,156.0,845.0,38.2,38.0,37.0,29.0,40.0,42.0,154.0,144.0,128.0,817.0,721.0,563.0
38.2,29.0,154.0,817.0,38.0,37.0,35.8,40.0,42.0,56.0,144.0,128.0,103.0,721.0,563.0,361.0
38.0,40.0,144.0,721.0,37.0,35.8,35.0,42.0,56.0,60.0,128.0,103.0,61.0,563.0,361.0,157.0
37.0,42.0,128.0,563.0,35.8,35.0,34.0,56.0,60.0,67.0,103.0,61.0,17.0,361.0,157.0,31.0
35.8,56.0,103.0,361.0,35.0,34.0,33.0,60.0,67.0,73.0,61.0,17.0,0.0,157.0,31.0,0.0
35.0,60.0,61.0,157.0,34.0,33.0,33.0,67.0,73.0,75.0,17.0,0.0,0.0,31.0,0.0,0.0
34.0,67.0,17.0,31.0,33.0,33.0,32.0,73.0,75.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,73.0,0.0,0.0,33.0,32.0,32.4,75.0,79.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,75.0,0.0,0.0,32.0,32.4,32.0,79.0,75.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,79.0,0.0,0.0,32.4,32.0,32.0,75.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
32.4,75.0,0.0,0.0,32.0,32.0,31.8,79.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,79.0,0.0,0.0,32.0,31.8,32.0,79.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,79.0,0.0,0.0,31.8,32.0,31.0,79.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
31.8,79.0,0.0,0.0,32.0,31.0,30.0,79.0,79.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,79.0,0.0,0.0,31.0,30.0,29.0,79.0,86.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,79.0,0.0,0.0,30.0,29.0,29.0,86.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,86.0,0.0,0.0,29.0,29.0,28.4,89.0,89.0,93.0,0.0,0.0,56.0,0.0,0.0,81.0
29.0,89.0,0.0,0.0,29.0,28.4,29.0,89.0,93.0,94.0,0.0,56.0,127.0,0.0,81.0,226.0
29.0,89.0,0.0,0.0,28.4,29.0,30.0,93.0,94.0,89.0,56.0,127.0,165.0,81.0,226.0,434.0
28.4,93.0,56.0,81.0,29.0,30.0,32.4,94.0,89.0,76.0,127.0,165.0,162.0,226.0,434.0,651.0
29.0,94.0,127.0,226.0,30.0,32.4,34.0,89.0,76.0,63.0,165.0,162.0,155.0,434.0,651.0,788.0
30.0,89.0,165.0,434.0,32.4,34.0,35.0,76.0,63.0,63.0,162.0,155.0,157.0,651.0,788.0,834.0
32.4,76.0,162.0,651.0,34.0,35.0,35.0,63.0,63.0,60.0,155.0,157.0,154.0,788.0,834.0,807.0
34.0,63.0,155.0,788.0,35.0,35.0,36.0,63.0,60.0,57.0,157.0,154.0,144.0,834.0,807.0,711.0
35.0,63.0,157.0,834.0,35.0,36.0,35.0,60.0,57.0,63.0,154.0,144.0,128.0,807.0,711.0,554.0
35.0,60.0,154.0,807.0,36.0,35.0,34.6,57.0,63.0,65.0,144.0,128.0,103.0,711.0,554.0,355.0
36.0,57.0,144.0,711.0,35.0,34.6,34.0,63.0,65.0,67.0,128.0,103.0,60.0,554.0,355.0,154.0
35.0,63.0,128.0,554.0,34.6,34.0,33.0,65.0,67.0,71.0,103.0,60.0,16.0,355.0,154.0,29.0
34.6,65.0,103.0,355.0,34.0,33.0,32.2,67.0,71.0,72.0,60.0,16.0,0.0,154.0,29.0,0.0
34.0,67.0,60.0,154.0,33.0,32.2,32.0,71.0,72.0,75.0,16.0,0.0,0.0,29.0,0.0,0.0
33.0,71.0,16.0,29.0,32.2,32.0,32.0,72.0,75.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
32.2,72.0,0.0,0.0,32.0,32.0,31.9,75.0,71.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,75.0,0.0,0.0,32.0,31.9,32.0,71.0,73.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,71.0,0.0,0.0,31.9,32.0,31.0,73.0,71.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
31.9,73.0,0.0,0.0,32.0,31.0,30.9,71.0,75.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,71.0,0.0,0.0,31.0,30.9,30.0,75.0,77.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,75.0,0.0,0.0,30.9,30.0,30.0,77.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
30.9,77.0,0.0,0.0,30.0,30.0,28.8,79.0,79.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,79.0,0.0,0.0,30.0,28.8,28.0,79.0,84.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,79.0,0.0,0.0,28.8,28.0,28.0,84.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0
28.8,84.0,0.0,0.0,28.0,28.0,27.8,89.0,89.0,88.0,0.0,0.0,50.0,0.0,0.0,111.0
28.0,89.0,0.0,0.0,28.0,27.8,29.0,89.0,88.0,84.0,0.0,50.0,101.0,0.0,111.0,296.0
28.0,89.0,0.0,0.0,27.8,29.0,31.0,88.0,84.0,75.0,50.0,101.0,134.0,111.0,296.0,500.0
27.8,88.0,50.0,111.0,29.0,31.0,32.2,84.0,75.0,69.0,101.0,134.0,155.0,296.0,500.0,669.0
29.0,84.0,101.0,296.0,31.0,32.2,36.0,75.0,69.0,61.0,134.0,155.0,167.0,500.0,669.0,774.0
31.0,75.0,134.0,500.0,32.2,36.0,35.0,69.0,61.0,56.0,155.0,167.0,164.0,669.0,774.0,825.0
32.2,69.0,155.0,669.0,36.0,35.0,35.5,61.0,56.0,50.0,167.0,164.0,154.0,774.0,825.0,809.0
36.0,61.0,167.0,774.0,35.0,35.5,35.0,56.0,50.0,47.0,164.0,154.0,143.0,825.0,809.0,713.0
35.0,56.0,164.0,825.0,35.5,35.0,35.0,50.0,47.0,39.0,154.0,143.0,127.0,809.0,713.0,555.0
35.5,50.0,154.0,809.0,35.0,35.0,34.5,47.0,39.0,50.0,143.0,127.0,102.0,713.0,555.0,355.0
35.0,47.0,143.0,713.0,35.0,34.5,34.0,39.0,50.0,47.0,127.0,102.0,59.0,555.0,355.0,152.0
35.0,39.0,127.0,555.0,34.5,34.0,33.0,50.0,47.0,59.0,102.0,59.0,16.0,355.0,152.0,28.0
34.5,50.0,102.0,355.0,34.0,33.0,32.7,47.0,59.0,61.0,59.0,16.0,0.0,152.0,28.0,0.0
34.0,47.0,59.0,152.0,33.0,32.7,32.0,59.0,61.0,67.0,16.0,0.0,0.0,28.0,0.0,0.0
33.0,59.0,16.0,28.0,32.7,32.0,32.0,61.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
32.7,61.0,0.0,0.0,32.0,32.0,31.7,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
