outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
39.0,57.0,0.0,0.0,39.0,39.0,38.0,58.0,61.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,58.0,0.0,0.0,39.0,38.0,36.2,61.0,67.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,61.0,0.0,0.0,38.0,36.2,35.0,67.0,61.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,67.0,0.0,0.0,36.2,35.0,35.0,61.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
36.2,61.0,0.0,0.0,35.0,35.0,34.6,67.0,67.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,67.0,0.0,0.0,35.0,34.6,35.0,67.0,72.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,67.0,0.0,0.0,34.6,35.0,34.0,72.0,67.0,67.0,0.0,0.0,32.0,0.0,0.0,52.0
34.6,72.0,0.0,0.0,35.0,34.0,35.0,67.0,67.0,61.0,0.0,32.0,85.0,0.0,52.0,189.0
35.0,67.0,0.0,0.0,34.0,35.0,36.0,67.0,61.0,50.0,32.0,85.0,127.0,52.0,189.0,382.0
34.0,67.0,32.0,52.0,35.0,36.0,38.0,61.0,50.0,42.0,85.0,127.0,157.0,189.0,382.0,577.0
35.0,61.0,85.0,189.0,36.0,38.0,40.4,50.0,42.0,42.0,127.0,157.0,177.0,382.0,577.0,742.0
36.0,50.0,127.0,382.0,38.0,40.4,42.0,42.0,42.0,39.0,157.0,177.0,189.0,577.0,742.0,857.0
38.0,42.0,157.0,577.0,40.4,42.0,44.0,42.0,39.0,36.0,177.0,189.0,196.0,742.0,857.0,914.0
40.4,42.0,177.0,742.0,42.0,44.0,41.2,39.0,36.0,37.0,189.0,196.0,195.0,857.0,914.0,906.0
42.0,39.0,189.0,857.0,44.0,41.2,40.0,36.0,37.0,38.0,196.0,195.0,187.0,914.0,906.0,834.0
44.0,36.0,196.0,914.0,41.2,40.0,40.0,37.0,38.0,46.0,195.0,187.0,172.0,906.0,834.0,705.0
41.2,37.0,195.0,906.0,40.0,40.0,41.4,38.0,46.0,47.0,187.0,172.0,150.0,834.0,705.0,532.0
40.0,38.0,187.0,834.0,40.0,41.4,40.0,46.0,47.0,40.0,172.0,150.0,118.0,705.0,532.0,334.0
40.0,46.0,172.0,705.0,41.4,40.0,39.0,47.0,40.0,45.0,150.0,118.0,71.0,532.0,334.0,148.0
41.4,47.0,150.0,532.0,40.0,39.0,37.4,40.0,45.0,49.0,118.0,71.0,22.0,334.0,148.0,32.0
40.0,40.0,118.0,334.0,39.0,37.4,37.0,45.0,49.0,48.0,71.0,22.0,0.0,148.0,32.0,0.0
39.0,45.0,71.0,148.0,37.4,37.0,36.0,49.0,48.0,57.0,22.0,0.0,0.0,32.0,0.0,0.0
37.4,49.0,22.0,32.0,37.0,36.0,36.3,48.0,57.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,48.0,0.0,0.0,36.0,36.3,36.0,57.0,52.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,57.0,0.0,0.0,36.3,36.0,36.0,52.0,50.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
36.3,52.0,0.0,0.0,36.0,36.0,35.4,50.0,72.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,50.0,0.0,0.0,36.0,35.4,36.0,72.0,61.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,72.0,0.0,0.0,35.4,36.0,36.0,61.0,57.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
35.4,61.0,0.0,0.0,36.0,36.0,35.3,57.0,77.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,57.0,0.0,0.0,36.0,35.3,35.0,77.0,81.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,77.0,0.0,0.0,35.3,35.0,35.0,81.0,83.0,84.0,0.0,0.0,30.0,0.0,0.0,49.0
35.3,81.0,0.0,0.0,35.0,35.0,34.5,83.0,84.0,80.0,0.0,30.0,85.0,0.0,49.0,178.0
35.0,83.0,0.0,0.0,35.0,34.5,35.0,84.0,80.0,75.0,30.0,85.0,130.0,49.0,178.0,372.0
35.0,84.0,30.0,49.0,34.5,35.0,36.0,80.0,75.0,50.0,85.0,130.0,158.0,178.0,372.0,572.0
34.5,80.0,85.0,178.0,35.0,36.0,38.4,75.0,50.0,41.0,130.0,158.0,180.0,372.0,572.0,734.0
35.0,75.0,130.0,372.0,36.0,38.4,40.0,50.0,41.0,32.0,158.0,180.0,192.0,572.0,734.0,854.0
36.0,50.0,158.0,572.0,38.4,40.0,40.0,41.0,32.0,46.0,180.0,192.0,196.0,734.0,854.0,915.0
38.4,41.0,180.0,734.0,40.0,40.0,40.1,32.0,46.0,42.0,192.0,196.0,195.0,854.0,915.0,907.0
40.0,32.0,192.0,854.0,40.0,40.1,39.0,46.0,42.0,51.0,196.0,195.0,187.0,915.0,907.0,836.0
40.0,46.0,196.0,915.0,40.1,39.0,38.0,42.0,51.0,44.0,195.0,187.0,172.0,907.0,836.0,708.0
40.1,42.0,195.0,907.0,39.0,38.0,38.6,51.0,44.0,44.0,187.0,172.0,150.0,836.0,708.0,531.0
39.0,51.0,187.0,836.0,38.0,38.6,41.0,44.0,44.0,48.0,172.0,150.0,118.0,708.0,531.0,333.0
38.0,44.0,172.0,708.0,38.6,41.0,41.0,44.0,48.0,51.0,150.0,118.0,71.0,531.0,333.0,148.0
38.6,44.0,150.0,531.0,41.0,41.0,39.6,48.0,51.0,52.0,118.0,71.0,22.0,333.0,148.0,32.0
41.0,48.0,118.0,333.0,41.0,39.6,38.0,51.0,52.0,42.0,71.0,22.0,0.0,148.0,32.0,0.0
41.0,51.0,71.0,148.0,39.6,38.0,38.0,52.0,42.0,62.0,22.0,0.0,0.0,32.0,0.0,0.0
39.6,52.0,22.0,32.0,38.0,38.0,36.4,42.0,62.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,42.0,0.0,0.0,38.0,36.4,35.0,62.0,66.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,62.0,0.0,0.0,36.4,35.0,35.0,66.0,63.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
36.4,66.0,0.0,0.0,35.0,35.0,34.0,63.0,67.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,63.0,0.0,0.0,35.0,34.0,33.0,67.0,73.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,67.0,0.0,0.0,34.0,33.0,33.0,73.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,73.0,0.0,0.0,33.0,33.0,32.2,80.0,80.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,80.0,0.0,0.0,33.0,32.2,32.0,80.0,82.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,80.0,0.0,0.0,32.2,32.0,32.0,82.0,84.0,84.0,0.0,0.0,32.0,0.0,0.0,47.0
32.2,82.0,0.0,0.0,32.0,32.0,32.1,84.0,84.0,83.0,0.0,32.0,84.0,0.0,47.0,174.0
32.0,84.0,0.0,0.0,32.0,32.1,32.0,84.0,83.0,79.0,32.0,84.0,130.0,47.0,174.0,354.0
